"ModId","Name","Version","FileVersion","Jar","AllModIds","SHA256","MetadataPath","MetadataSource","Confidence","Namespaces"
"faster_climbing","Faster Climbing","1.0","1.0","FasterClimbing-neoforge-1.0.jar","faster_climbing","521D43C6E784A60B8BD87EE21973AEEA412AB4B641A0BBC4AF6D78ED85AF8B6B","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","faster_climbing"
"fastfurnace","FastFurnace","9.0.1","9.0.1","FastFurnace-1.21.1-9.0.1.jar","fastfurnace","4A8743C5D870AA9885D65E20D728C76FEC894E01E81D1B49EF0F4459A67F0EEA","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"fastsuite","Fast Suite","6.0.7","6.0.7","FastSuite-1.21.1-6.0.7.jar","fastsuite","3E274CD01BDC27DFF8E2514213F1C45306C86FE38E4271A4209BC1471DE6C70D","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"ferritecore","Ferrite Core","7.0.3","7.0.3","ferritecore-7.0.3-neoforge.jar","ferritecore","D87EA28262715EBFF45B8A82D493E6B468E7A4521BC021DF5D88302196D030A8","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"flerovium","Flerovium","1.1.2","1.1.2","flerovium-neoforge-1.21.1-1.1.2-all.jar","flerovium","2274B5C3E66CDA6958B17A968EF8E6EF8710FF8A0A8BB99050FB5A167BA07928","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"fluxnetworks","Flux Networks","8.0.0","8.0.0","FluxNetworks-1.21.1-8.0.0.jar","fluxnetworks","29E511B2D76F85BD247AA213A92BB059ECC037FCC3FED82BAFFCFF97B638D3A6","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","c;fluxnetworks;minecraft"
"followersteleporttoo","Followers Teleport Too","2.7","2.7","followersteleporttoo-1.21.1-2.7.jar","followersteleporttoo","5A63715245E185BEFA774A415917E85E21437A5055DD7A8AAF329072513D9B0F","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"framedbg2support","Framed Blocks Building Gadgets Support","0.1.0","0.1.0","framedbg2support-0.1.0.jar","framedbg2support","555A23CEC6202562A894B6C591966693C8686122D0A41580DF2EDD40B1199650","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"framedblocks","FramedBlocks","10.6.1","10.6.1","FramedBlocks-10.6.1.jar","framedblocks","3337F29E1FA3331E8740EEF9C20B0750D81FD86D1057FB81012A5C4792AA3369","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","c;diagonalwindows;framedblocks;minecraft"
"framework","Framework","0.13.11","0.13.11","framework-neoforge-1.21.1-0.13.11.jar","framework","429EA90A162D7C25C1463EE60979E4D7B1DDB525D9384A3A2A2F45D70BDA03F5","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","framework"
